natural_language,sql,mongodb,operation
Delete all employees,DELETE FROM employees;,db.employees.deleteMany({}),DELETE
Delete products with product_id less than 28453,DELETE FROM products WHERE product_id < 28453;,db.products.deleteMany({product_id: {$lt: 28453}}),DELETE
"Insert a new product with product_id as 8253, product_name as Brian Smith, category as Electronics","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (8253, 'Brian Smith', 'Electronics', 73005.3, 907, 'Archer Inc');","db.products.insertOne({
  ""product_id"": 8253,
  ""product_name"": ""Brian Smith"",
  ""category"": ""Electronics"",
  ""price"": 73005.3,
  ""stock_quantity"": 907,
  ""supplier"": ""Archer Inc""
})",CREATE
Change product_name to Jason Vasquez for all products,UPDATE products SET product_name = 'Jason Vasquez';,"db.products.updateMany({}, {$set: {product_name: 'Jason Vasquez'}})",UPDATE
Increase budget by 408 in departments where location equals Townsendton,UPDATE departments SET budget = budget + 408 WHERE location = 'Townsendton';,"db.departments.updateMany({location: 'Townsendton'}, {$inc: {budget: 408}})",UPDATE
Increase price by 3414 in products where product_id equals 8830,UPDATE products SET price = price + 3414 WHERE product_id = '8830';,"db.products.updateMany({product_id: '8830'}, {$inc: {price: 3414}})",UPDATE
"Update products set category to Electronics where supplier is Love, Campbell and Dodson","UPDATE products SET category = 'Electronics' WHERE supplier = 'Love, Campbell and Dodson';","db.products.updateMany({supplier: 'Love, Campbell and Dodson'}, {$set: {category: 'Electronics'}})",UPDATE
Delete departments with manager_id less than 45547,DELETE FROM departments WHERE manager_id < 45547;,db.departments.deleteMany({manager_id: {$lt: 45547}}),DELETE
Delete projects with project_id less than 23130,DELETE FROM projects WHERE project_id < 23130;,db.projects.deleteMany({project_id: {$lt: 23130}}),DELETE
Show average stock_quantity from products,SELECT AVG(stock_quantity) FROM products;,"db.products.aggregate([{$group: {_id: null, avg: {$avg: '$stock_quantity'}}}])",READ
Show all projects,SELECT * FROM projects;,db.projects.find({}),READ
Change end_date to 2022-11-29 for all projects,UPDATE projects SET end_date = '2022-11-29';,"db.projects.updateMany({}, {$set: {end_date: '2022-11-29'}})",UPDATE
"Insert a new product with product_id as 8303, product_name as Theresa Wilson, category as Hardware","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (8303, 'Theresa Wilson', 'Hardware', 59634.4, 6817, 'Mueller, Anthony and Bass');","db.products.insertOne({
  ""product_id"": 8303,
  ""product_name"": ""Theresa Wilson"",
  ""category"": ""Hardware"",
  ""price"": 59634.4,
  ""stock_quantity"": 6817,
  ""supplier"": ""Mueller, Anthony and Bass""
})",CREATE
Delete all employees,DELETE FROM employees;,db.employees.deleteMany({}),DELETE
Update projects set project_id to 5830 where project_name is Darlene House,UPDATE projects SET project_id = '5830' WHERE project_name = 'Darlene House';,"db.projects.updateMany({project_name: 'Darlene House'}, {$set: {project_id: '5830'}})",UPDATE
"Insert a new product with product_id as 3906, product_name as Jessica Underwood, category as Office Supplies","INSERT INTO products (product_id, product_name, category, price, stock_quantity, supplier) VALUES (3906, 'Jessica Underwood', 'Office Supplies', 29839.86, 6134, 'Hess Inc');","db.products.insertOne({
  ""product_id"": 3906,
  ""product_name"": ""Jessica Underwood"",
  ""category"": ""Office Supplies"",
  ""price"": 29839.86,
  ""stock_quantity"": 6134,
  ""supplier"": ""Hess Inc""
})",CREATE
Count all products,SELECT COUNT(*) FROM products;,db.products.countDocuments({}),READ
"Insert a new project with project_id as 6426, project_name as Nicole Evans, start_date as 2023-09-06","INSERT INTO projects (project_id, project_name, start_date, end_date, budget, status) VALUES (6426, 'Nicole Evans', '2023-09-06', '2025-02-06', 34095.63, 'Pending');","db.projects.insertOne({
  ""project_id"": 6426,
  ""project_name"": ""Nicole Evans"",
  ""start_date"": ""2023-09-06"",
  ""end_date"": ""2025-02-06"",
  ""budget"": 34095.63,
  ""status"": ""Pending""
})",CREATE
Increase total_amount by 1171 in orders where customer_name equals Zachary Greene,UPDATE orders SET total_amount = total_amount + 1171 WHERE customer_name = 'Zachary Greene';,"db.orders.updateMany({customer_name: 'Zachary Greene'}, {$inc: {total_amount: 1171}})",UPDATE
"Insert a new order with order_id as 1070, customer_name as James Hunt, product_name as Michael Johnson","INSERT INTO orders (order_id, customer_name, product_name, quantity, order_date, total_amount) VALUES (1070, 'James Hunt', 'Michael Johnson', 4327, '2021-06-23', 93922.43);","db.orders.insertOne({
  ""order_id"": 1070,
  ""customer_name"": ""James Hunt"",
  ""product_name"": ""Michael Johnson"",
  ""quantity"": 4327,
  ""order_date"": ""2021-06-23"",
  ""total_amount"": 93922.43
})",CREATE
Find employees where name is Stephanie Farrell,SELECT * FROM employees WHERE name = 'Stephanie Farrell';,db.employees.find({name: 'Stephanie Farrell'}),READ
